label,type,Experiment,item,Question,Condition,Correct_Answer,Question_type,group,sentence,Phrase1,Phrase2,Phrase3,Phrase4,Phrase5,Phrase6,Phrase7,Phrase8,Phrase9,Phrase10,Phrase11,Phrase12,Phrase13,Phrase14,alternative,match
rc_c_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,c,2,1,list4,店员 抢了 那个 刚才 推了 男孩 一下 的 妇人 并且 打伤了 她。,店员,抢了,那个,刚才,推了,男孩,一下,的,妇人,并且,打伤了,她。,,,X-X-X 煤矿 矛盾 溶液 词汇 淡淡 基础 种 敏锐 获得 郭沫若 能。,0
rc_d_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,d,2,1,list1,店员 抢了 那个 刚才 男孩 推了 一下 的 妇人 并且 打伤了 她。,店员,抢了,那个,刚才,男孩,推了,一下,的,妇人,并且,打伤了,她。,,,X-X-X 煤矿 矛盾 溶液 淡淡 词汇 基础 种 敏锐 获得 郭沫若 能。,0
rc_a_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,a,2,2,list2,那个 上个月 邀请了 男孩 几次 的 女孩 认识 王老师 因为 上过 她的课。,那个,上个月,邀请了,男孩,几次,的,女孩,认识,王老师,因为,上过,她的课。,,,X-X-X 林明跃 蒸馏水 毁灭 悲惨 种 贮藏 革命 死亡率 研究 林瑛 唐太宗。,0
rc_b_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,b,1,2,list3,那个 上个月 男孩 邀请了 几次 的 女孩 认识 王老师 因为 上过 她的课。,那个,上个月,男孩,邀请了,几次,的,女孩,认识,王老师,因为,上过,她的课。,,,X-X-X 林明跃 毁灭 蒸馏水 悲惨 种 贮藏 革命 死亡率 研究 林瑛 唐太宗。,0
rc_c_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,c,2,2,list4,王老师 认识 那个 上个月 邀请了 男孩 几次 的 女孩 因为 教过 她的课。,王老师,认识,那个,上个月,邀请了,男孩,几次,的,女孩,因为,教过,她的课。,,,X-X-X 物质 矛盾 啄木鸟 畜牧业 毁灭 粪便 种 贮藏 研究 腹腔 显微镜。,0
rc_d_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,d,1,2,list1,王老师 认识 那个 上个月 男孩 邀请了 几次 的 女孩 因为 教过 她的课。,王老师,认识,那个,上个月,男孩,邀请了,几次,的,女孩,因为,教过,她的课。,,,X-X-X 物质 矛盾 啄木鸟 毁灭 畜牧业 粪便 种 贮藏 研究 腹腔 显微镜。,0
rc_a_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,a,1,3,list2,那条 去年 救了 主人 好几次 的 狗 喜欢 小男孩 所以 很 兴奋。,那条,去年,救了,主人,好几次,的,狗,喜欢,小男孩,所以,很,兴奋。,,,X-X-X 检查 华侨 始终 椭圆形 种 亩 逐步 徐悲鸿 研究 两 途径。,0
rc_b_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,b,2,3,list3,那条 去年 主人 救了 好几次 的 狗 喜欢 小男孩 所以 很 兴奋。,那条,去年,主人,救了,好几次,的,狗,喜欢,小男孩,所以,很,兴奋。,,,X-X-X 检查 始终 华侨 椭圆形 种 亩 逐步 徐悲鸿 研究 两 途径。,0
rc_c_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,c,1,3,list4,小男孩 喜欢 那条 去年 救了 主人 好几次 的 狗 所以 很 兴奋。,小男孩,喜欢,那条,去年,救了,主人,好几次,的,狗,所以,很,兴奋。,,,X-X-X 妇女 器皿 检查 女士 适用 倾向性 种 亩 研究 呢 途径。,0
rc_d_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,d,2,3,list1,小男孩 喜欢 那条 去年 主人 救了 好几次 的 狗 所以 很 兴奋。,小男孩,喜欢,那条,去年,主人,救了,好几次,的,狗,所以,很,兴奋。,,,X-X-X 妇女 器皿 检查 适用 女士 倾向性 种 亩 研究 呢 途径。,0
rc_a_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,a,2,4,list2,那个 刚才 推了 职业选手 一下 的 业余选手 骂了 裁判 而且 威胁了 他。,那个,刚才,推了,职业选手,一下,的,业余选手,骂了,裁判,而且,威胁了,他。,,,X-X-X 溶液 农户 集市贸易 民族 种 恍然大悟 衣裳 惭愧 必须 湖南省 种。,0
rc_b_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,b,2,4,list3,那个 刚才 职业选手 推了 一下 的 业余选手 骂了 裁判 而且 威胁了 他。,那个,刚才,职业选手,推了,一下,的,业余选手,骂了,裁判,而且,威胁了,他。,,,X-X-X 溶液 集市贸易 农户 民族 种 恍然大悟 衣裳 惭愧 必须 湖南省 种。,0
rc_c_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,c,1,4,list4,裁判 骂了 那个 刚才 推了 职业选手 一下 的 业余选手 而且 警告了 他。,裁判,骂了,那个,刚才,推了,职业选手,一下,的,业余选手,而且,警告了,他。,,,X-X-X 茅草 矛盾 溶液 东欧 剩余价值 民族 种 血液循环 必须 蒸汽机 种。,0
rc_d_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,d,1,4,list1,裁判 骂了 那个 刚才 职业选手 推了 一下 的 业余选手 而且 警告了 他。,裁判,骂了,那个,刚才,职业选手,推了,一下,的,业余选手,而且,警告了,他。,,,X-X-X 茅草 矛盾 溶液 剩余价值 东欧 民族 种 血液循环 必须 蒸汽机 种。,0
rc_a_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,a,1,1,list3,这个 上个月 监视了 杀手 一段时间 的 侦探 讨厌 当地人 所以 没有 寻求帮助。,这个,上个月,监视了,杀手,一段时间,的,侦探,讨厌,当地人,所以,没有,寻求帮助。,,,X-X-X 脚步声 谭嗣同 右倾 经济杠杆 种 槐树 船舶 松花江 科学 什么 一九八０。,0
rc_b_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,b,1,1,list4,这个 上个月 杀手 监视了 一段时间 的 侦探 讨厌 当地人 所以 没有 寻求帮助。,这个,上个月,杀手,监视了,一段时间,的,侦探,讨厌,当地人,所以,没有,寻求帮助。,,,X-X-X 脚步声 右倾 谭嗣同 经济杠杆 种 槐树 船舶 松花江 科学 什么 一九八０。,0
rc_c_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,c,2,1,list1,当地人 讨厌 这个 上个月 监视了 杀手 一段时间 的 侦探 所以 没有 提供帮助。,当地人,讨厌,这个,上个月,监视了,杀手,一段时间,的,侦探,所以,没有,提供帮助。,,,X-X-X 葡萄 生产 马寅初 碳酸钠 祈祷 抗美援朝 种 槐树 必须 生活 一九八三。,0
rc_d_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,d,2,1,list2,当地人 讨厌 这个 上个月 杀手 监视了 一段时间 的 侦探 所以 没有 提供帮助。,当地人,讨厌,这个,上个月,杀手,监视了,一段时间,的,侦探,所以,没有,提供帮助。,,,X-X-X 葡萄 生产 马寅初 祈祷 碳酸钠 抗美援朝 种 槐树 必须 生活 一九八三。,0
rc_a_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,a,2,2,list3,那位 最近 抱怨了 房东 好多次 的 住户 找了 律师 而且 打算 起诉。,那位,最近,抱怨了,房东,好多次,的,住户,找了,律师,而且,打算,起诉。,,,X-X-X 刺激 硫酸铜 存贮 赤裸裸 种 闪烁 高粱 崩溃 技术 细菌 嘻嘻。,0
rc_b_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,b,1,2,list4,那位 最近 房东 抱怨了 好多次 的 住户 找了 律师 而且 打算 起诉。,那位,最近,房东,抱怨了,好多次,的,住户,找了,律师,而且,打算,起诉。,,,X-X-X 刺激 存贮 硫酸铜 赤裸裸 种 闪烁 高粱 崩溃 技术 细菌 嘻嘻。,0
rc_c_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,c,1,2,list1,律师 找了 那位 最近 抱怨了 房东 好多次 的 住户 而且 打算 起诉。,律师,找了,那位,最近,抱怨了,房东,好多次,的,住户,而且,打算,起诉。,,,X-X-X 湿热 皮肤 刺激 椭圆形 存贮 黑猩猩 种 痉挛 世界 细菌 嘻嘻。,0
rc_d_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,d,2,2,list2,律师 找了 那位 最近 房东 抱怨了 好多次 的 住户 而且 打算 起诉。,律师,找了,那位,最近,房东,抱怨了,好多次,的,住户,而且,打算,起诉。,,,X-X-X 湿热 皮肤 刺激 存贮 椭圆形 黑猩猩 种 痉挛 世界 细菌 嘻嘻。,0
rc_a_11,rc,RCs_SPR_ET,11,球员上个月骂了教练吗？,a,1,3,list3,那个 上个月 骂了 教练 一顿 的 球员 爱上了 女歌星 还 送她 礼物。,那个,上个月,骂了,教练,一顿,的,球员,爱上了,女歌星,还,送她,礼物。,,,X-X-X 培养基 珍珠 凝结 欣喜 种 切忌 价值观 有所谓 种 丘陵 厌恶。,0
rc_b_11,rc,RCs_SPR_ET,11,球员上个月骂了教练吗？,b,2,3,list4,那个 上个月 骂了 教练 一顿 的 球员 爱上了 女歌星 还 送她 礼物。,那个,上个月,教练,骂了,一顿,的,球员,爱上了,女歌星,还,送她,礼物。,,,X-X-X 培养基 珍珠 凝结 欣喜 种 切忌 价值观 有所谓 种 丘陵 厌恶。,0
rc_c_11,rc,RCs_SPR_ET,11,球员上个月骂了教练吗？,c,1,3,list1,女歌星 爱上了 那个 上个月 骂了 教练 一顿 的 球员 还 送他 礼物。,女歌星,爱上了,那个,上个月,骂了,教练,一顿,的,球员,还,送他,礼物。,,,X-X-X 受精卵 矛盾 林则徐 茫茫 凝结 雕塑 种 放映 种 炼丹 厌恶。,0
rc_d_11,rc,RCs_SPR_ET,11,球员上个月骂了教练吗？,d,2,3,list2,女歌星 爱上了 那个 上个月 教练 骂了 一顿 的 球员 还 送他 礼物。,女歌星,爱上了,那个,上个月,教练,骂了,一顿,的,球员,还,送他,礼物。,,,X-X-X 受精卵 矛盾 林则徐 凝结 茫茫 雕塑 种 放映 种 炼丹 厌恶。,0
rc_a_12,rc,RCs_SPR_ET,12,小提琴手崇拜了指挥家很久吗？,a,2,4,list3,那位 以前 崇拜了 指挥家 很久 的 作曲家 结识了 小提琴手 并且 两人 常见面。,那位,以前,崇拜了,指挥家,很久,的,作曲家,结识了,小提琴手,并且,两人,常见面。,,,X-X-X 解释 诸葛亮 系统性 闪烁 种 二十二 细胞质 干干净净 实践 糟糕 老爷爷。,0
rc_b_12,rc,RCs_SPR_ET,12,小提琴手崇拜了指挥家很久吗？,b,2,4,list4,那位 以前 指挥家 崇拜了 很久 的 作曲家 结识了 小提琴手 并且 两人 常见面。,那位,以前,指挥家,崇拜了,很久,的,作曲家,结识了,小提琴手,并且,两人,常见面。,,,X-X-X 解释 系统性 诸葛亮 闪烁 种 二十二 细胞质 干干净净 实践 糟糕 老爷爷。,0
rc_c_12,rc,RCs_SPR_ET,12,小提琴手结识了作曲家吗？,c,1,4,list1,小提琴手 结识了 那位 以前 崇拜了 指挥家 很久 的 作曲家 并且 两人 常见面。,小提琴手,结识了,那位,以前,崇拜了,指挥家,很久,的,作曲家,并且,两人,常见面。,,,X-X-X 慢吞吞 纷纷 解释 碳酸钠 受精卵 省委 种 愈来愈 矛盾 堵塞 碳酸钙。,0
rc_d_12,rc,RCs_SPR_ET,12,小提琴手结识了作曲家吗？,d,1,4,list2,小提琴手 结识了 那位 以前 指挥家 崇拜了 很久 的 作曲家 并且 两人 常见面。,小提琴手,结识了,那位,以前,指挥家,崇拜了,很久,的,作曲家,并且,两人,常见面。,,,X-X-X 慢吞吞 纷纷 解释 受精卵 碳酸钠 省委 种 愈来愈 矛盾 堵塞 碳酸钙。,0
rc_a_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,a,1,1,list4,这个 去年 批评了 电影局 几次 的 女演员 很欣赏 金城武 因为 他 个性坦率。,这个,去年,批评了,电影局,几次,的,女演员,很欣赏,金城武,因为,他,个性坦率。,,,X-X-X 三十 林巧稚 于右任 尘埃 种 硫酸铜 蒸馏水 销售额 我国 种 氢氧化钠。,0
rc_b_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,b,1,1,list1,这个 去年 电影局 批评了 几次 的 女演员 很欣赏 金城武 因为 他 个性坦率。,这个,去年,电影局,批评了,几次,的,女演员,很欣赏,金城武,因为,他,个性坦率。,,,X-X-X 三十 于右任 林巧稚 尘埃 种 硫酸铜 蒸馏水 销售额 我国 种 氢氧化钠。,0
rc_c_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,c,2,1,list2,金城武 很欣赏 这个 去年 批评了 电影局 几次 的 女演员 因为 她 个性坦率。,金城武,很欣赏,这个,去年,批评了,电影局,几次,的,女演员,因为,她,个性坦率。,,,X-X-X 脂肪酸 问题 三十 奴隶主 据统计 蕴藏 种 氯酸钾 什么 或 血液循环。,0
rc_d_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,d,2,1,list3,金城武 很欣赏 这个 去年 电影局 批评了 几次 的 女演员 因为 她 个性坦率。,金城武,很欣赏,这个,去年,电影局,批评了,几次,的,女演员,因为,她,个性坦率。,,,X-X-X 脂肪酸 问题 三十 据统计 奴隶主 蕴藏 种 氯酸钾 什么 或 血液循环。,0
rc_a_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,a,2,2,list4,那位 上个月 约会了 飞行员 两次 的 空姐 惹怒了 经理 因为 她 常迟到。,那位,上个月,约会了,飞行员,两次,的,空姐,惹怒了,经理,因为,她,常迟到。,,,X-X-X 甲状腺 西红柿 需要量 亩产 种 歼灭 污染物 繁殖 研究 种 慢吞吞。,0
rc_b_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,b,1,2,list1,那位 上个月 飞行员 约会了 两次 的 空姐 惹怒了 经理 因为 她 常迟到。,那位,上个月,飞行员,约会了,两次,的,空姐,惹怒了,经理,因为,她,常迟到。,,,X-X-X 甲状腺 需要量 西红柿 亩产 种 歼灭 污染物 繁殖 研究 种 慢吞吞。,0
rc_c_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,c,2,2,list2,经理 惹怒了 那位 上个月 约会了 飞行员 两次 的 空姐 因为 他 经常 冷嘲热讽。,经理,惹怒了,那位,上个月,约会了,飞行员,两次,的,空姐,因为,他,经常,冷嘲热讽。,,X-X-X 畜牧业 纷纷 肖武斌 西红柿 需要量 压倒 种 侮辱 研究 种 概念 各式各样。,0
rc_d_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,d,1,2,list3,经理 惹怒了 那位 上个月 飞行员 约会了 两次 的 空姐 因为 他 经常 冷嘲热讽。,经理,惹怒了,那位,上个月,飞行员,约会了,两次,的,空姐,因为,他,经常,冷嘲热讽。,,X-X-X 畜牧业 纷纷 肖武斌 需要量 西红柿 压倒 种 侮辱 研究 种 概念 各式各样。,0
rc_a_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,a,1,3,list4,这位 今天 称赞了 导演 多次 的 男明星 批评了 影评家 并且 表示 很难过。,这位,今天,称赞了,导演,多次,的,男明星,批评了,影评家,并且,表示,很难过。,,,X-X-X 解决 矿物质 遵循 贵族 种 笑嘻嘻 水溶液 赤裸裸 矛盾 规律 冯玉祥。,0
rc_b_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,b,2,3,list1,这位 今天 导演 称赞了 多次 的 男明星 批评了 影评家 并且 表示 很难过。,这位,今天,导演,称赞了,多次,的,男明星,批评了,影评家,并且,表示,很难过。,,,X-X-X 解决 遵循 矿物质 贵族 种 笑嘻嘻 水溶液 赤裸裸 矛盾 规律 冯玉祥。,0
rc_c_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,c,1,3,list2,影评家 批评了 这位 今天 称赞了 导演 多次 的 男明星 并且 表示 很难过。,影评家,批评了,这位,今天,称赞了,导演,多次,的,男明星,并且,表示,很难过。,,,X-X-X 县政府 习惯 增加 郭沫若 遵循 贵族 我 千百万 矛盾 规律 氧化铜。,0
rc_d_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,d,2,3,list3,影评家 批评了 这位 今天 导演 称赞了 多次 的 男明星 并且 表示 很难过。,影评家,批评了,这位,今天,导演,称赞了,多次,的,男明星,并且,表示,很难过。,,,X-X-X 县政府 习惯 增加 遵循 郭沫若 贵族 我 千百万 矛盾 规律 氧化铜。,0
rc_a_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,a,2,4,list4,那位 昨天 采访了 作家 两个小时 的 记者 质疑了 候选人 而且 扬言 报复。,那位,昨天,采访了,作家,两个小时,的,记者,质疑了,候选人,而且,扬言,报复。,,,X-X-X 优秀 碳酸钙 恢复 气喘吁吁 种 缺乏 碳酸钙 习惯于 教育 石匠 牲畜。,0
rc_b_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,b,2,4,list1,那位 昨天 作家 采访了 两个小时 的 记者 质疑了 候选人 而且 扬言 报复。,那位,昨天,作家,采访了,两个小时,的,记者,质疑了,候选人,而且,扬言,报复。,,,X-X-X 优秀 恢复 碳酸钙 气喘吁吁 种 缺乏 碳酸钙 习惯于 教育 石匠 牲畜。,0
rc_c_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,c,1,4,list2,候选人 质疑了 那位 昨天 采访了 作家 两个小时 的 记者 而且 扬言 报复。,候选人,质疑了,那位,昨天,采访了,作家,两个小时,的,记者,而且,扬言,报复。,,,X-X-X 体育课 纷纷 兴奋 黑猩猩 仿佛 气喘吁吁 种 缺乏 技术 蔬菜 牲畜。,0
rc_d_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,d,1,4,list3,候选人 质疑了 那位 昨天 作家 采访了 两个小时 的 记者 而且 扬言 报复。,候选人,质疑了,那位,昨天,作家,采访了,两个小时,的,记者,而且,扬言,报复。,,,X-X-X 体育课 纷纷 兴奋 仿佛 黑猩猩 气喘吁吁 种 缺乏 技术 蔬菜 牲畜。,0
rc_a_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,a,1,1,list1,那个 今早 追了 犯人 一会儿 的 小狗 嗅出 主人 并且 停了 下来。,那个,今早,追了,犯人,一会儿,的,小狗,嗅出,主人,并且,停了,下来。,,,X-X-X 欺侮 八旗 迁徙 蒋介石 种 收割 市政 给予 实践 党政 环境。,0
rc_b_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,b,1,1,list2,那个 今早 犯人 追了 一会儿 的 小狗 嗅出 主人 并且 停了 下来。,那个,今早,犯人,追了,一会儿,的,小狗,嗅出,主人,并且,停了,下来。,,,X-X-X 欺侮 迁徙 八旗 蒋介石 种 收割 市政 给予 实践 党政 环境。,0
rc_c_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,c,2,1,list3,主人 嗅出 那个 今早 追了 犯人 一会儿 的 小狗 并且 停了 下来。,主人,嗅出,那个,今早,追了,犯人,一会儿,的,小狗,并且,停了,下来。,,,X-X-X 旗帜 矛盾 赠送 八旗 迁徙 蒋介石 种 栽培 政策 氮肥 环境。,0
rc_d_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,d,2,1,list4,主人 嗅出 那个 今早 犯人 追了 一会儿 的 小狗 并且 停了 下来。,主人,嗅出,那个,今早,犯人,追了,一会儿,的,小狗,并且,停了,下来。,,,X-X-X 旗帜 矛盾 赠送 迁徙 八旗 蒋介石 种 栽培 政策 氮肥 环境。,0
rc_a_18,rc,RCs_ET,18,那位妈妈通知管理员吗?,a,1,1,list2,那位 昨天 教训了 邻居 一番 的 妈妈 通知 管理员 然后 报怨了 一个小时。,那位,昨天,教训了,邻居,一番,的,妈妈,通知,管理员,然后,报怨了,一个小时。,,,X-X-X 消耗 柬埔寨 奠定 锻炼 种 逐渐 六十 碳酸钠 矛盾 墨西哥 眼花缭乱。,0
rc_b_18,rc,RCs_ET,18,那位妈妈通知管理员吗?,b,1,1,list3,那位 昨天 邻居 教训了 一番 的 妈妈 通知 管理员 然后 报怨了 一个小时。,那位,昨天,邻居,教训了,一番,的,妈妈,通知,管理员,然后,报怨了,一个小时。,,,X-X-X 消耗 奠定 柬埔寨 锻炼 种 逐渐 六十 碳酸钠 矛盾 墨西哥 眼花缭乱。,0
